"V1" "V2" "V3" "V4" "V5" "V6" "extr" "extr" "extr" "extr"
"2013/11/30 12:22'17" 41608.51547 25 14 1003.5 "" "" "" ""
"2013/11/30 12:22'27" 41608.51559 25.1 14 1003.5 "" "" "" ""
"2013/11/30 12:22'37" 41608.51571 25.1 13 1003.4 "" "" "" ""
"2013/11/30 12:22'47" 41608.51582 25.1 14 1003.4 "" "" "" ""
"2013/11/30 12:22'57" 41608.51594 25.2 14 1003.4 "" "" "" ""
"2013/11/30 12:23'07" 41608.51605 25.2 14 1003.4 "" "" "" ""
"2013/11/30 12:23'17" 41608.51617 25.2 13 1003.4 "" "" "" ""
"2013/11/30 12:23'27" 41608.51628 25.2 13 1003.4 "" "" "" ""
"2013/11/30 12:23'37" 41608.5164 25.3 13 1003.4 "" "" "" ""
"2013/11/30 12:23'47" 41608.51652 25.3 14 1003.5 "" "" "" ""
"2013/11/30 12:23'57" 41608.51663 25.3 13 1003.4 "" "" "" ""
"2013/11/30 12:24'07" 41608.51675 25.4 13 1003.4 "" "" "" ""
"2013/11/30 12:24'17" 41608.51686 25.4 13 1003.4 "" "" "" ""
"2013/11/30 12:24'27" 41608.51698 25.4 13 1003.4 "" "" "" ""
"2013/11/30 12:24'37" 41608.51709 25.4 13 1003.4 "" "" "" ""
"2013/11/30 12:24'47" 41608.51721 25.4 13 1003.4 "" "" "" ""
"2013/11/30 12:24'57" 41608.51733 25.4 13 1003.4 "" "" "" ""
"2013/11/30 12:25'07" 41608.51744 25.5 13 1003.3 "" "" "" ""
"2013/11/30 12:25'17" 41608.51756 25.5 13 1003.3 "" "" "" ""
"2013/11/30 12:25'27" 41608.51767 25.5 13 1003.3 "" "" "" ""
"2013/11/30 12:25'37" 41608.51779 25.5 13 1003.4 "" "" "" ""
"2013/11/30 12:25'47" 41608.51791 25.5 13 1003.4 "" "" "" ""
"2013/11/30 12:25'57" 41608.51802 25.5 13 1003.4 "" "" "" ""
"2013/11/30 12:26'07" 41608.51814 25.5 13 1003.4 "" "" "" ""
"2013/11/30 12:26'17" 41608.51825 25.5 13 1003.4 "" "" "" ""
"2013/11/30 12:26'27" 41608.51837 25.5 13 1003.4 "" "" "" ""
"2013/11/30 12:26'37" 41608.51848 25.5 13 1003.4 "" "" "" ""
"2013/11/30 12:26'47" 41608.5186 25.5 12 1003.4 "" "" "" ""
"2013/11/30 12:26'57" 41608.51872 25.4 12 1003.3 "" "" "" ""
"2013/11/30 12:27'07" 41608.51883 25.4 13 1003.3 "" "" "" ""
"2013/11/30 12:27'17" 41608.51895 25.4 13 1003.3 "" "" "" ""
"2013/11/30 12:27'27" 41608.51906 25.4 12 1003.4 "" "" "" ""
"2013/11/30 12:27'37" 41608.51918 25.4 13 1003.4 "" "" "" ""
"2013/11/30 12:27'47" 41608.51929 25.3 12 1003.4 "" "" "" ""
"2013/11/30 12:27'57" 41608.51941 25.3 13 1003.3 "" "" "" ""
"2013/11/30 12:28'07" 41608.51953 25.3 12 1003.3 "" "" "" ""
"2013/11/30 12:28'17" 41608.51964 25.2 13 1003.3 "" "" "" ""
"2013/11/30 12:28'27" 41608.51976 25.2 13 1003.3 "" "" "" ""
"2013/11/30 12:28'37" 41608.51987 25.2 13 1003.3 "" "" "" ""
"2013/11/30 12:28'47" 41608.51999 25.2 13 1003.3 "" "" "" ""
"2013/11/30 12:28'57" 41608.5201 25.2 12 1003.3 "" "" "" ""
"2013/11/30 12:29'07" 41608.52022 25.2 13 1003.3 "" "" "" ""
"2013/11/30 12:29'17" 41608.52034 25.1 12 1003.3 "" "" "" ""
"2013/11/30 12:29'27" 41608.52045 25.1 13 1003.3 "" "" "" ""
"2013/11/30 12:29'37" 41608.52057 25.1 12 1003.3 "" "" "" ""
"2013/11/30 12:29'47" 41608.52068 25.1 13 1003.3 "" "" "" ""
"2013/11/30 12:29'57" 41608.5208 25.1 13 1003.3 "" "" "" ""
"2013/11/30 12:30'07" 41608.52091 25 12 1003.3 "" "" "" ""
"2013/11/30 12:30'17" 41608.52103 25 13 1003.3 "" "" "" ""
"2013/11/30 12:30'27" 41608.52115 25 12 1003.2 "" "" "" ""
"2013/11/30 12:30'37" 41608.52126 25 12 1003.2 "" "" "" ""
"2013/11/30 12:30'47" 41608.52138 25 13 1003.2 "" "" "" ""
"2013/11/30 12:30'57" 41608.52149 24.9 13 1003.3 "" "" "" ""
"2013/11/30 12:31'07" 41608.52161 24.9 13 1003.3 "" "" "" ""
"2013/11/30 12:31'17" 41608.52172 24.9 13 1003.3 "" "" "" ""
"2013/11/30 12:31'27" 41608.52184 24.9 13 1003.3 "" "" "" ""
"2013/11/30 12:31'37" 41608.52196 24.9 13 1003.3 "" "" "" ""
"2013/11/30 12:31'47" 41608.52207 24.9 12 1003.3 "" "" "" ""
"2013/11/30 12:31'57" 41608.52219 24.9 13 1003.3 "" "" "" ""
"2013/11/30 12:32'07" 41608.5223 24.8 12 1003.3 "" "" "" ""
"2013/11/30 12:32'17" 41608.52242 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:32'27" 41608.52253 24.8 12 1003.3 "" "" "" ""
"2013/11/30 12:32'37" 41608.52265 24.8 12 1003.3 "" "" "" ""
"2013/11/30 12:32'47" 41608.52277 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:32'57" 41608.52288 24.8 12 1003.2 "" "" "" ""
