"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/16 12:14'55"	"41836.5103587963"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:15'15"	"41836.5105902778"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:15'35"	"41836.5108217593"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:15'55"	"41836.5110532407"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:16'15"	"41836.5112847222"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:16'35"	"41836.5115162037"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:16'55"	"41836.5117476852"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:17'15"	"41836.5119791667"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:17'35"	"41836.5122106481"	"  22.4000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:17'55"	"41836.5124421296"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:18'15"	"41836.5126736111"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:18'35"	"41836.5129050926"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:18'55"	"41836.5131365741"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:19'15"	"41836.5133680556"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:19'35"	"41836.5135995370"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:19'55"	"41836.5138310185"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:20'15"	"41836.5140625000"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:20'35"	"41836.5142939815"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:20'55"	"41836.5145254630"	"  22.6000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:21'15"	"41836.5147569444"	"  22.6000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:21'35"	"41836.5149884259"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:21'55"	"41836.5152199074"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:22'15"	"41836.5154513889"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:22'35"	"41836.5156828704"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:22'55"	"41836.5159143519"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:23'15"	"41836.5161458333"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:23'35"	"41836.5163773148"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:23'55"	"41836.5166087963"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:24'15"	"41836.5168402778"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:24'35"	"41836.5170717593"	"  22.4000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:24'55"	"41836.5173032407"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:25'15"	"41836.5175347222"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:25'35"	"41836.5177662037"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:25'55"	"41836.5179976852"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:26'15"	"41836.5182291667"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:26'35"	"41836.5184606481"	"  22.6000"	"  55.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:26'55"	"41836.5186921296"	"  22.6000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:27'15"	"41836.5189236111"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:27'35"	"41836.5191550926"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:27'55"	"41836.5193865741"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:28'15"	"41836.5196180556"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:28'35"	"41836.5198495370"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:28'55"	"41836.5200810185"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:29'15"	"41836.5203125000"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:29'35"	"41836.5205439815"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:29'55"	"41836.5207754630"	"  22.4000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:30'15"	"41836.5210069444"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:30'35"	"41836.5212384259"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:30'55"	"41836.5214699074"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:31'15"	"41836.5217013889"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:31'35"	"41836.5219328704"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:31'55"	"41836.5221643519"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:32'15"	"41836.5223958333"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:32'35"	"41836.5226273148"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:32'55"	"41836.5228587963"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:33'15"	"41836.5230902778"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:33'35"	"41836.5233217593"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:33'55"	"41836.5235532407"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:34'15"	"41836.5237847222"	"  22.5000"	"  55.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:34'35"	"41836.5240162037"	"  22.5000"	"  55.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:34'55"	"41836.5242476852"	"  22.5000"	"  55.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:35'15"	"41836.5244791667"	"  22.5000"	"  55.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:35'35"	"41836.5247106481"	"  22.5000"	"  55.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:35'55"	"41836.5249421296"	"  22.5000"	"  55.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:36'15"	"41836.5251736111"	"  22.5000"	"  55.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:36'35"	"41836.5254050926"	"  22.5000"	"  55.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:36'55"	"41836.5256365741"	"  22.4000"	"  55.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:37'15"	"41836.5258680556"	"  22.4000"	"  55.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:37'35"	"41836.5260995370"	"  22.4000"	"  55.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:37'55"	"41836.5263310185"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:38'15"	"41836.5265625000"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:38'35"	"41836.5267939815"	"  22.4000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:38'55"	"41836.5270254630"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:39'15"	"41836.5272569444"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:39'35"	"41836.5274884259"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:39'55"	"41836.5277199074"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:40'15"	"41836.5279513889"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:40'35"	"41836.5281828704"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:40'55"	"41836.5284143519"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:41'15"	"41836.5286458333"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:41'35"	"41836.5288773148"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:41'55"	"41836.5291087963"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:42'15"	"41836.5293402778"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:42'35"	"41836.5295717593"	"  22.5000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:42'55"	"41836.5298032407"	"  22.4000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:43'15"	"41836.5300347222"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:43'35"	"41836.5302662037"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:43'55"	"41836.5304976852"	"  22.4000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:44'15"	"41836.5307291667"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:44'35"	"41836.5309606481"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:44'55"	"41836.5311921296"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:45'15"	"41836.5314236111"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:45'35"	"41836.5316550926"	"  22.4000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:45'55"	"41836.5318865741"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:46'15"	"41836.5321180556"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:46'35"	"41836.5323495370"	"  22.4000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:46'55"	"41836.5325810185"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:47'15"	"41836.5328125000"	"  22.4000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:47'35"	"41836.5330439815"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:47'55"	"41836.5332754630"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:48'15"	"41836.5335069444"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:48'35"	"41836.5337384259"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:48'55"	"41836.5339699074"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:49'15"	"41836.5342013889"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:49'35"	"41836.5344328704"	"  22.4000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:49'55"	"41836.5346643519"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:50'15"	"41836.5348958333"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:50'35"	"41836.5351273148"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:50'55"	"41836.5353587963"	"  22.5000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:51'15"	"41836.5355902778"	"  22.5000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:51'35"	"41836.5358217593"	"  22.5000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:51'55"	"41836.5360532407"	"  22.5000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:52'15"	"41836.5362847222"	"  22.5000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:52'35"	"41836.5365162037"	"  22.5000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:52'55"	"41836.5367476852"	"  22.5000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:53'15"	"41836.5369791667"	"  22.6000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:53'35"	"41836.5372106481"	"  22.6000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:53'55"	"41836.5374421296"	"  22.6000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:54'15"	"41836.5376736111"	"  22.6000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:54'35"	"41836.5379050926"	"  22.6000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:54'55"	"41836.5381365741"	"  22.6000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:55'15"	"41836.5383680556"	"  22.6000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:55'35"	"41836.5385995370"	"  22.6000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:55'55"	"41836.5388310185"	"  22.6000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 12:56'15"	"41836.5390625000"	"  22.6000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:56'35"	"41836.5392939815"	"  22.6000"	"  56.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:56'55"	"41836.5395254630"	"  22.6000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 12:57'15"	"41836.5397569444"	"  22.6000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 12:57'35"	"41836.5399884259"	"  22.6000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 12:57'55"	"41836.5402199074"	"  22.6000"	"  55.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:58'15"	"41836.5404513889"	"  22.6000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 12:58'35"	"41836.5406828704"	"  22.6000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 12:58'55"	"41836.5409143519"	"  22.6000"	"  55.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:59'15"	"41836.5411458333"	"  22.6000"	"  55.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:59'35"	"41836.5413773148"	"  22.7000"	"  55.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 12:59'55"	"41836.5416087963"	"  22.7000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:00'15"	"41836.5418402778"	"  22.7000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:00'35"	"41836.5420717593"	"  22.7000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:00'55"	"41836.5423032407"	"  22.7000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:01'15"	"41836.5425347222"	"  22.7000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:01'35"	"41836.5427662037"	"  22.7000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:01'55"	"41836.5429976852"	"  22.6000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:02'15"	"41836.5432291667"	"  22.6000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:02'35"	"41836.5434606481"	"  22.6000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:02'55"	"41836.5436921296"	"  22.7000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:03'15"	"41836.5439236111"	"  22.7000"	"  57.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:03'35"	"41836.5441550926"	"  22.7000"	"  57.0000"	"  997.1000"	""	""	""	""	""	
"2014/07/16 13:03'55"	"41836.5443865741"	"  22.7000"	"  58.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:04'15"	"41836.5446180556"	"  22.8000"	"  58.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:04'35"	"41836.5448495370"	"  22.8000"	"  58.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:04'55"	"41836.5450810185"	"  22.8000"	"  58.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:05'15"	"41836.5453125000"	"  22.8000"	"  58.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:05'35"	"41836.5455439815"	"  22.8000"	"  58.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:05'55"	"41836.5457754630"	"  22.8000"	"  57.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:06'15"	"41836.5460069444"	"  22.8000"	"  57.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:06'35"	"41836.5462384259"	"  22.8000"	"  57.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:06'55"	"41836.5464699074"	"  22.8000"	"  57.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:07'15"	"41836.5467013889"	"  22.8000"	"  57.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:07'35"	"41836.5469328704"	"  22.8000"	"  57.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:07'55"	"41836.5471643519"	"  22.8000"	"  57.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:08'15"	"41836.5473958333"	"  22.8000"	"  57.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:08'35"	"41836.5476273148"	"  22.8000"	"  57.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:08'55"	"41836.5478587963"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:09'15"	"41836.5480902778"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:09'35"	"41836.5483217593"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:09'55"	"41836.5485532407"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:10'15"	"41836.5487847222"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:10'35"	"41836.5490162037"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:10'55"	"41836.5492476852"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:11'15"	"41836.5494791667"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:11'35"	"41836.5497106481"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:11'55"	"41836.5499421296"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:12'15"	"41836.5501736111"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:12'35"	"41836.5504050926"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:12'55"	"41836.5506365741"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:13'15"	"41836.5508680556"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:13'35"	"41836.5510995370"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:13'55"	"41836.5513310185"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:14'15"	"41836.5515625000"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:14'35"	"41836.5517939815"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:14'55"	"41836.5520254630"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:15'15"	"41836.5522569444"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:15'35"	"41836.5524884259"	"  22.8000"	"  56.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:15'55"	"41836.5527199074"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:16'15"	"41836.5529513889"	"  22.9000"	"  55.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:16'35"	"41836.5531828704"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:16'55"	"41836.5534143519"	"  22.8000"	"  55.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:17'15"	"41836.5536458333"	"  22.8000"	"  55.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:17'35"	"41836.5538773148"	"  22.8000"	"  55.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:17'55"	"41836.5541087963"	"  22.8000"	"  55.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:18'15"	"41836.5543402778"	"  22.8000"	"  55.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:18'35"	"41836.5545717593"	"  22.8000"	"  55.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:18'55"	"41836.5548032407"	"  22.9000"	"  55.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:19'15"	"41836.5550347222"	"  22.9000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:19'35"	"41836.5552662037"	"  22.8000"	"  55.0000"	"  997.0000"	""	""	""	""	""	
"2014/07/16 13:19'55"	"41836.5554976852"	"  22.8000"	"  55.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:20'15"	"41836.5557291667"	"  22.8000"	"  55.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:20'35"	"41836.5559606481"	"  22.8000"	"  55.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:20'55"	"41836.5561921296"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:21'15"	"41836.5564236111"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:21'35"	"41836.5566550926"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:21'55"	"41836.5568865741"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:22'15"	"41836.5571180556"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:22'35"	"41836.5573495370"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:22'55"	"41836.5575810185"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:23'15"	"41836.5578125000"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:23'35"	"41836.5580439815"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:23'55"	"41836.5582754630"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:24'15"	"41836.5585069444"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:24'35"	"41836.5587384259"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:24'55"	"41836.5589699074"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:25'15"	"41836.5592013889"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:25'35"	"41836.5594328704"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:25'55"	"41836.5596643519"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:26'15"	"41836.5598958333"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:26'35"	"41836.5601273148"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:26'55"	"41836.5603587963"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:27'15"	"41836.5605902778"	"  22.8000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:27'35"	"41836.5608217593"	"  22.7000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:27'55"	"41836.5610532407"	"  22.7000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:28'15"	"41836.5612847222"	"  22.7000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:28'35"	"41836.5615162037"	"  22.7000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:28'55"	"41836.5617476852"	"  22.7000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:29'15"	"41836.5619791667"	"  22.7000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:29'35"	"41836.5622106481"	"  22.7000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:29'55"	"41836.5624421296"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:30'15"	"41836.5626736111"	"  22.8000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:30'35"	"41836.5629050926"	"  22.7000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:30'55"	"41836.5631365741"	"  22.7000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
"2014/07/16 13:31'15"	"41836.5633680556"	"  22.7000"	"  56.0000"	"  996.9000"	""	""	""	""	""	
"2014/07/16 13:31'35"	"41836.5635995370"	"  22.7000"	"  56.0000"	"  996.8000"	""	""	""	""	""	
