"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/16 11:17'35"	"41836.4705439815"	"  22.1000"	"  55.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:17'55"	"41836.4707754630"	"  22.1000"	"  55.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:18'15"	"41836.4710069444"	"  22.1000"	"  55.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:18'35"	"41836.4712384259"	"  22.2000"	"  55.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:18'55"	"41836.4714699074"	"  22.2000"	"  55.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:19'15"	"41836.4717013889"	"  22.2000"	"  55.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:19'35"	"41836.4719328704"	"  22.2000"	"  55.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:19'55"	"41836.4721643519"	"  22.2000"	"  55.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:20'15"	"41836.4723958333"	"  22.3000"	"  55.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:20'35"	"41836.4726273148"	"  22.3000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:20'55"	"41836.4728587963"	"  22.3000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:21'15"	"41836.4730902778"	"  22.3000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:21'35"	"41836.4733217593"	"  22.2000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:21'55"	"41836.4735532407"	"  22.2000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:22'15"	"41836.4737847222"	"  22.2000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:22'35"	"41836.4740162037"	"  22.3000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:22'55"	"41836.4742476852"	"  22.3000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:23'15"	"41836.4744791667"	"  22.3000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:23'35"	"41836.4747106481"	"  22.4000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:23'55"	"41836.4749421296"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:24'15"	"41836.4751736111"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:24'35"	"41836.4754050926"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:24'55"	"41836.4756365741"	"  22.4000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:25'15"	"41836.4758680556"	"  22.4000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:25'35"	"41836.4760995370"	"  22.4000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:25'55"	"41836.4763310185"	"  22.5000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:26'15"	"41836.4765625000"	"  22.5000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:26'35"	"41836.4767939815"	"  22.5000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:26'55"	"41836.4770254630"	"  22.5000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:27'15"	"41836.4772569444"	"  22.5000"	"  57.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:27'35"	"41836.4774884259"	"  22.5000"	"  57.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:27'55"	"41836.4777199074"	"  22.5000"	"  57.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:28'15"	"41836.4779513889"	"  22.5000"	"  57.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:28'35"	"41836.4781828704"	"  22.4000"	"  57.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:28'55"	"41836.4784143519"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:29'15"	"41836.4786458333"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:29'35"	"41836.4788773148"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:29'55"	"41836.4791087963"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:30'15"	"41836.4793402778"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:30'35"	"41836.4795717593"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:30'55"	"41836.4798032407"	"  22.4000"	"  57.0000"	"  997.7000"	""	""	""	""	""	
